WARNING:root:Defaulting to PJRT_DEVICE=CPU
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-26 17:30:26.457 (   2.240s) [         CA41480]     memory_instance.cc:57       1| MemoryInstance::getDevice
